시군구,어린이집명,어린이집유형,운영현황,통학차량운영여부
강동구,선희어린이집,가정,정상,미운영
강동구,이슬어린이집,가정,정상,미운영
강동구,단비어린이집,가정,재개,미운영
강동구,아미어린이집,가정,정상,미운영
강동구,향기어린이집,가정,정상,미운영
강동구,사랑나무어린이집,가정,정상,미운영
강동구,라인어린이집,가정,정상,미운영
강동구,사랑어린이집,민간,정상,미운영
강동구,꼬마요정어린이집,가정,정상,운영
강동구,제일몬테소리어린이집,민간,정상,운영
강동구,새꼬예미어린이집,민간,재개,운영
강동구,신광어린이집,민간,정상,운영
강동구,아소비어린이집,민간,정상,운영
강동구,이루니키즈어린이집,민간,정상,운영
강동구,강동한양어린이집,민간,재개,운영
강동구,신나는구름빵 어린이집,민간,정상,운영
강동구,중흥리틀스쿨어린이집,민간,정상,운영
강동구,민들레어린이집,민간,정상,운영
강동구,에덴동산Kids 어린이집,민간,정상,운영
강동구,비네어린이집,민간,정상,운영
강동구,강동무지개어린이집,민간,재개,운영
강동구,명일어린이집,민간,정상,운영
강동구,리틀엔젤스어린이집,민간,정상,운영
강동구,에덴어린이집,민간,정상,운영
강동구,예은어린이집,민간,정상,운영
강동구,리틀어린이집,가정,정상,미운영
강동구,이림어린이집,민간,정상,운영
강동구,밤비어린이집,가정,정상,미운영
강동구,봄햇살어린이집,민간,정상,운영
강동구,자이맘어린이집,민간,정상,미운영
강동구,꼬마아이숲어린이집,민간,정상,미운영
강동구,새싹어린이집,민간,정상,운영
강동구,상미어린이집,민간,정상,운영
강동구,라온어린이집,민간,정상,운영
강동구,고일어린이집,국공립,정상,미운영
강동구,큰별어린이집,민간,정상,운영
강동구,또래또래어린이집,민간,정상,운영
강동구,구립빗살어린이집,국공립,정상,미운영
강동구,이큐어린이집,가정,정상,운영
강동구,조은어린이집,민간,정상,운영
강동구,아기사랑어린이집,민간,정상,운영
강동구,달님어린이집,가정,정상,미운영
강동구,엔젤어린이집,가정,정상,미운영
강동구,삼성어린이집,가정,정상,운영
강동구,아기둥지어린이집,가정,정상,미운영
강동구,엘림어린이집,민간,정상,미운영
강동구,길동새순어린이집,가정,정상,미운영
강동구,온유어린이집,가정,정상,미운영
강동구,강동해님이놀러온어린이집,가정,정상,미운영
강동구,강동아이슐레어린이집,민간,재개,운영
강동구,천호어린이집,국공립,정상,미운영
강동구,하늘어린이집,민간,정상,운영
강동구,구립둔촌어린이집,국공립,정상,미운영
강동구,아기천국어린이집,민간,정상,운영
강동구,윤슬어린이집,민간,정상,운영
강동구,아이꿈어린이집,가정,재개,미운영
강동구,구립곡교어린이집,국공립,정상,미운영
